Num_Acc,an,mois,jour,lum,agg,int,atm,col,senc,catv,occutc,obs,obsm,manv,catu,secu,catr,circ,nbv,prof,lartpc,larrout,surf,infra,situ,nb_veh,grav_simpl,Homme,Femme,Arrière,Autre_x,Avant,Conducteur,Autre_y,Inconnu,Loisirs,Professionnel,Travail,Adulte,Enfant,Jeune,Senior,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order_max,heure,minute
200500006656,5,1,20,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,4.0,1,1,4.0,1.0,2.0,1.0,0.0,68.0,1,0.0,1.0,1,1,0,2,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,2,11,45
201700004589,17,5,29,1,1,3,1.0,3.0,1.0,7.0,0.0,0.0,2.0,19.0,1,1,3.0,2.0,2.0,1.0,0.0,10.0,1,0.0,-1.0,2,1,4,2,0,0,2,4,0,0,6,0,0,4,0,2,0,1,0,1,0,2,17,45
200500020792,5,4,8,5,2,2,2.0,6.0,2.0,7.0,0.0,0.0,2.0,2.0,1,1,4.0,1.0,2.0,1.0,0.0,60.0,1,0.0,1.0,2,1,2,2,0,0,2,2,0,2,2,0,0,4,0,0,0,1,1,0,0,2,19,50
200800042401,8,7,11,1,2,3,1.0,3.0,0.0,30.0,0.0,0.0,2.0,1.0,1,2,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,0.0,2,2,2,2,0,0,0,4,0,0,0,0,4,2,0,2,0,1,0,0,0,2,8,15
201300024227,13,11,12,1,2,3,3.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,1,-1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,1,2,4,0,0,2,4,0,0,6,0,0,4,0,0,2,1,1,0,0,3,9,45
200600065111,6,10,31,5,2,1,1.0,6.0,0.0,30.0,0.0,1.0,2.0,1.0,1,2,2.0,1.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,0,2,0,2,2,0,2,0,0,0,1,0,2,18,5
201200020526,12,8,31,1,1,1,1.0,7.0,0.0,33.0,0.0,13.0,0.0,1.0,1,2,3.0,2.0,0.0,2.0,0.0,0.0,1,0.0,3.0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4,16,15
201100060979,11,7,11,1,2,1,1.0,6.0,0.0,32.0,0.0,0.0,1.0,1.0,1,2,4.0,2.0,0.0,1.0,0.0,100.0,1,0.0,1.0,1,2,2,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,1,0,2,10,20
201300038216,13,5,30,1,2,1,1.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,4.0,2.0,2.0,1.0,40.0,40.0,1,0.0,1.0,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,2,19,0
200500078451,5,12,22,3,1,1,1.0,1.0,0.0,7.0,0.0,0.0,0.0,23.0,1,1,3.0,2.0,0.0,1.0,0.0,80.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,0,4,0,0,2,0,2,0,1,0,0,0,3,22,15
201200006754,12,9,9,1,1,1,1.0,3.0,0.0,33.0,0.0,0.0,2.0,0.0,1,2,3.0,2.0,2.0,2.0,0.0,70.0,1,0.0,1.0,2,3,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,1,0,1,0,3,11,15
200500064885,5,10,1,1,2,1,1.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,1,-1,4.0,1.0,2.0,1.0,0.0,0.0,1,0.0,0.0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,2,15,15
201500045596,15,6,21,3,1,1,1.0,2.0,0.0,7.0,0.0,-1.0,2.0,1.0,1,1,1.0,3.0,6.0,1.0,0.0,-1.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,1,1,0,0,2,4,45
201200057459,12,3,10,1,2,7,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,-1,4.0,2.0,1.0,0.0,0.0,0.0,1,0.0,1.0,1,1,0,2,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,2,9,30
200500031720,5,5,29,1,2,3,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,-1,4.0,1.0,3.0,1.0,0.0,0.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,4,0,0,0,2,0,2,0,1,0,1,0,2,21,48
200800072677,8,12,11,2,2,1,1.0,3.0,0.0,7.0,0.0,0.0,2.0,0.0,1,1,4.0,2.0,2.0,1.0,40.0,40.0,1,0.0,1.0,2,1,4,2,0,0,2,4,0,4,2,0,0,2,0,4,0,1,0,0,0,2,19,30
201300032251,13,4,10,1,2,2,1.0,3.0,0.0,7.0,0.0,0.0,2.0,16.0,1,1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,2,0,2,2,0,0,2,1,0,1,0,2,18,44
201000012284,10,5,23,1,1,1,1.0,7.0,0.0,33.0,0.0,6.0,0.0,1.0,1,2,3.0,2.0,2.0,2.0,0.0,70.0,1,0.0,1.0,1,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,17,0
200500023113,5,4,10,1,2,1,1.0,6.0,0.0,7.0,0.0,2.0,0.0,1.0,1,0,4.0,2.0,2.0,4.0,0.0,50.0,1,0.0,3.0,1,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,4,12,0
201700030580,17,9,26,1,2,1,1.0,6.0,2.0,7.0,0.0,0.0,1.0,1.0,3,-1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,15,42
200500064554,5,10,5,1,1,1,1.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,1,-1,1.0,1.0,0.0,0.0,70.0,0.0,1,0.0,1.0,3,2,6,3,0,0,0,9,3,0,3,0,3,3,0,6,0,1,1,0,1,2,18,0
200500022088,5,4,13,4,2,2,1.0,3.0,0.0,2.0,0.0,0.0,2.0,16.0,1,2,2.0,2.0,2.0,1.0,0.0,80.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,4,0,0,0,2,0,2,0,1,0,0,0,2,22,15
200800065001,8,11,15,5,2,1,1.0,6.0,0.0,7.0,0.0,0.0,2.0,2.0,1,1,4.0,2.0,4.0,1.0,0.0,120.0,1,0.0,1.0,2,1,6,0,0,0,2,4,0,6,0,0,0,2,0,4,0,1,1,0,0,2,23,25
201000006559,10,3,17,1,2,1,1.0,7.0,0.0,33.0,0.0,0.0,0.0,0.0,1,2,3.0,2.0,2.0,0.0,5.0,60.0,1,0.0,1.0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,10,30
200600011787,6,3,17,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,9.0,2.0,1,1,4.0,2.0,2.0,1.0,0.0,60.0,1,0.0,1.0,2,1,0,6,0,0,2,4,0,2,2,0,2,2,0,4,0,1,0,1,0,2,17,30
201500031192,15,12,4,5,2,3,1.0,3.0,0.0,30.0,0.0,0.0,2.0,1.0,1,2,3.0,2.0,2.0,1.0,0.0,120.0,1,0.0,1.0,2,3,2,2,0,0,0,4,0,0,2,0,2,2,0,0,2,1,0,1,0,3,17,30
201000051591,10,3,15,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,1,1,2.0,2.0,2.0,1.0,0.0,80.0,1,0.0,1.0,1,1,2,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,2,9,10
201400044639,14,2,26,5,2,1,1.0,2.0,0.0,31.0,0.0,14.0,2.0,17.0,1,2,3.0,3.0,2.0,1.0,42.0,32.0,1,0.0,1.0,2,2,4,0,0,0,0,4,0,0,4,0,0,2,0,2,0,1,1,0,0,2,23,22
